run,final_median,rounds,coalition_events
1,50.33066711024302,9,9
2,49.245866610289106,31,31
3,45.115380724813924,28,28
4,50.36952478667378,27,25
5,47.998031858814855,38,38
6,50.35253160030883,28,28
7,45.3721742920769,28,26
8,53.69156783771608,1,1
9,50.951151369083696,23,23
10,52.46952248883195,29,29
11,45.41071960946334,29,25
12,45.86470005555908,30,30
13,44.64926467853784,27,27
14,48.376698577387636,48,48
15,51.49439016783611,19,19
16,52.745934845530364,28,28
17,36.60816197144607,31,30
18,47.25453432208429,46,43
19,43.118088749813985,34,34
20,55.723847531811415,18,18
21,44.865011344719996,25,25
22,36.04477057175538,29,29
23,53.781882704367355,27,24
24,45.06915129365174,42,42
25,52.06467219946789,26,26
26,45.25833484950222,32,32
27,47.8683004951696,27,23
28,46.46128330935339,34,34
29,52.93141766248304,2,2
30,51.41481297608329,27,26
31,50.76481912666974,36,36
32,54.512806339623566,21,21
33,47.10290781117318,46,46
34,46.647914645311076,28,28
35,51.320897603726856,23,23
36,46.790702700305026,31,29
37,47.599709657878186,32,32
38,43.67322167744772,27,27
39,44.6756343698376,40,40
40,51.977590099450275,33,33
